,axons DG:SMo,axons DG:SMi,axons DG:SG,axons DG:H,axons CA3:SLM,axons CA3:SR,axons CA3:SL,axons CA3:SP,axons CA3:SO,axons CA2:SLM,axons CA2:SR,axons CA2:SP,axons CA2:SO,axons CA1:SLM,axons CA1:SR,axons CA1:SP,axons CA1:SO,axons SUB:SM,axons SUB:SP,axons SUB:PL,axons EC:I,axons EC:II,axons EC:III,axons EC:IV,axons EC:V,axons EC:VI,dendrites DG:SMo,dendrites DG:SMi,dendrites DG:SG,dendrites DG:H,dendrites CA3:SLM,dendrites CA3:SR,dendrites CA3:SL,dendrites CA3:SP,dendrites CA3:SO,dendrites CA2:SLM,dendrites CA2:SR,dendrites CA2:SP,dendrites CA2:SO,dendrites CA1:SLM,dendrites CA1:SR,dendrites CA1:SP,dendrites CA1:SO,dendrites SUB:SM,dendrites SUB:SP,dendrites SUB:PL,dendrites EC:I,dendrites EC:II,dendrites EC:III,dendrites EC:IV,dendrites EC:V,dendrites EC:VI,somata DG:SMo,somata DG:SMi,somata DG:SG,somata DG:H,somata CA3:SLM,somata CA3:SR,somata CA3:SL,somata CA3:SP,somata CA3:SO,somata CA2:SLM,somata CA2:SR,somata CA2:SP,somata CA2:SO,somata CA1:SLM,somata CA1:SR,somata CA1:SP,somata CA1:SO,somata SUB:SM,somata SUB:SP,somata SUB:PL,somata EC:I,somata EC:II,somata EC:III,somata EC:IV,somata EC:V,somata EC:VI,CB,CR,PV,CB1,Mus2R,Sub P,5HT-3,vGluT3,CCK,ENK,NPY,SOM,alpha-actinin-2,CoupTF II,nNOS,RLN,DYN,mGluR1a,CGRP,VIP,Gaba-a-alpha,ChAT,EAAT3,GlyT2,mGluR7a,mGluR8a,MOR,NKB,PPTA,PPTB,vAChT,VIAAT,vGluT2,AChE,GAT-1,mGluR2/3,AP ampl,AP width,Fast AHP,R in,V rest,V thresh,tau m
DG:Granule (+)2201p,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,n,n,n,n,n,c,c,c,n,p,n,n,n,p,n,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,H,L,L,L,-,L
DG:Semilunar Granule (+)2311p,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,n,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,-
DG:Quad MC (+)2323,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DG:Hilar Granule (+)2203p,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,-
DG:Mossy (+)0103,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,c,n,-,-,n,n,-,n,-,-,n,-,-,-,-,-,-,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,L,-,-,-,-
DG:Total Molecular (-)3303,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,L,-,H,-,L
DG:MOLAX (-)3302,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,L,-,H,-,L
DG:Outer Molecular (-)3222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H,-,L
DG:Neurogliaform (-)3000p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,-,H,L
DG:MOPP (-)3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,n,-,p,n,n,p,p,p,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,-,H,L
